Date,Close,High,Low,Open,Volume
24-06-2015,52.19862747,52.76583948,52.11544169,52.56921014,16995000
25-06-2015,51.91883469,52.53898658,51.91127024,52.42554297,13314300
26-06-2015,52.14571381,52.40285304,52.00958263,52.13815513,14489200
29-06-2015,50.82221985,51.62388382,50.7919736,51.18523826,19934400
30-06-2015,51.24573898,51.51043689,50.79197033,51.3440537,20677400
01-07-2015,51.81665802,52.06025013,51.59590176,51.85472165,13964400
02-07-2015,51.397995,51.86234348,51.14679474,51.72532252,12822900
06-07-2015,51.2533493,51.3523066,50.65198005,50.91079411,13527100
07-07-2015,50.84991455,51.16962817,49.7080752,51.07066505,22421500
08-07-2015,49.80702591,50.36272354,49.63955523,50.24092457,17707200
09-07-2015,50.32465363,50.7737742,50.23330441,50.61391743,14984700
10-07-2015,51.04021454,51.30664252,50.87274386,51.16962159,12356100
13-07-2015,51.83186722,51.86993083,51.51976763,51.67962437,16175600
14-07-2015,52.5550499,52.6007216,51.58068143,51.7481521,20185100
15-07-2015,52.66922379,52.85191638,52.41040395,52.69967352,16891600
16-07-2015,52.95087051,53.24774814,52.83669128,53.00415609,18035700
17-07-2015,52.68445969,52.89760207,52.46370341,52.79103088,14040700
20-07-2015,52.72252655,53.11074772,52.66162706,52.90521921,11512900
21-07-2015,52.60071945,52.93566078,52.42564071,52.64639696,11659900
22-07-2015,53.34674072,53.50659755,52.67685786,52.73775736,15493000
23-07-2015,53.0117836,53.75017382,52.87476267,53.43046027,14331800
24-07-2015,52.45610428,52.9508967,52.28101968,52.85955327,12413900
27-07-2015,51.77098846,51.93084525,51.43604712,51.87755965,16801600
28-07-2015,51.80142975,52.22010055,51.5882816,52.18204273,14932400
29-07-2015,52.47893524,52.60072841,51.88517974,52.00697291,13059200
30-07-2015,52.5550499,52.86714957,52.17443685,52.47131456,10197200
31-07-2015,52.16682816,52.55505513,52.06787084,52.53221927,11911800
