date,close,cash,shares_held,portfolio_value,action,reward
2024-06-03,191.1381836,50069.207623132796,260.6488896708259,99889.16295217126,1,0.3856548239842018
2024-06-04,192.9078674,50405.51095365358,258.9038080677348,100350.09242973922,1,0.6714691563829919
2024-06-05,193.2260132,50257.26727843073,259.6702451389687,100432.31349330035,1,0.15322773390788047
2024-06-06,194.7372284,50608.22306100224,257.86623933819,100824.37980765241,1,0.6282007400974872
2024-06-07,193.3552704,50055.277197973315,260.72312277569137,100467.46710179951,1,-0.9708164488261051
2024-06-10,195.7513428,50857.64186159296,256.6201224081705,101091.3754124927,1,0.8892713885321237
2024-06-11,192.0031128,49582.54263943561,263.25452212275985,100128.23034568196,1,-3.436710835606987
2024-06-12,205.9519958,53732.068022090556,243.08633173653848,103796.18319493154,1,1.2493178015678499
2024-06-13,211.8377838,53328.44298995438,244.9897778692007,105226.53458742014,1,0.8182538983831384
2024-06-14,213.0010071,52897.814913710994,247.009476668855,105511.08220742107,1,0.25040815677665185
2024-06-17,211.2611084,52325.19759108936,249.71724092171115,105080.73869479989,1,-0.49261754885578124
2024-06-18,215.4169464,53576.900790322165,243.9008175793172,106117.27013772211,1,0.7195446861533054
2024-06-20,213.0506897,52480.407727463324,249.04230605201866,105539.04279632439,1,-0.7308843148428559
2024-06-21,208.4673767,51627.230234115814,253.13083626557764,104396.751632278,1,-1.5262222830937435
2024-06-24,206.2900391,51647.20453432401,253.03391304722967,103845.58035046302,1,-0.5535386627294913
2024-06-25,206.9362793,52085.87175547846,250.9119732454352,104008.66193070996,1,0.14829152424991998
2024-06-26,207.8609009,52236.1791376763,250.18813418101078,104240.51010303128,1,0.21970254239115597
2024-06-27,212.0167236,53159.0687653746,245.83086733218266,105279.32381689025,1,0.8941911980273705
2024-06-28,212.8618317,52847.10391245786,247.2949776295903,105486.76582090298,1,0.21262355348676265
2024-07-01,209.4019012,51886.80013041645,251.8763325843743,104630.18304086794,1,-1.1986382997582248
2024-07-02,215.4964752,53848.20709788025,242.76541633398358,106163.29861831422,1,1.2741088537549574
2024-07-03,218.9961243,53931.160043959404,242.38624988833698,107012.8093531165,1,0.7128591290980707
2024-07-05,220.2687225,53814.74868680881,242.91421891075913,107321.15336336706,1,0.32052975951808255
2024-07-08,225.0310211,54816.40406828281,238.4585752638863,108476.98074996634,1,0.8452807993230463
2024-07-09,226.5024567,54589.13977449521,239.46093638543377,108827.63014947838,1,0.3944786030953262
2024-07-10,227.3574829,54618.53102855053,239.33153367409662,109032.34610328973,1,0.2603957762593492
2024-07-11,231.6326141,55538.425942669004,235.3562051849453,110054.59899431386,1,0.7880678671628363
2024-07-12,226.2539215,53759.61378283987,243.2103679456311,108786.9132799968,1,-3.370478571354184
2024-07-15,229.2067108,55110.253620288044,237.31179794059682,109503.71026028646,1,0.6619113818855472
2024-07-16,233.0444031,55662.032458629496,234.94172956665713,110413.88758877273,1,0.7728495765637772
2024-07-17,233.4619904,55304.695496911685,236.47080066351722,110511.63929129805,1,0.12902060147659455
2024-07-18,227.5563202,53857.85569058845,242.82261023154402,109113.67533623747,1,-3.224158070603723
2024-07-19,222.8835144,53421.73908573371,244.77735742360824,107978.57675385244,1,-1.5441450070774088
2024-07-22,223.0127411,54020.32096599947,242.09060034250314,108009.60934292569,1,0.032171733540056625
2024-07-23,222.6647797,53920.46673276208,242.53860329516155,107925.27140422491,1,-0.09279521618436194
2024-07-24,223.7087097,54215.533663956885,241.2183047073936,108178.16936606934,1,0.2876781315248949
2024-07-25,217.276123,52535.748917737765,248.94168736172944,106624.83360077243,1,-2.1333652097812372
2024-07-26,216.2322083,53052.026119510745,246.5516919034592,106364.44291989694,1,-0.28045229123617604
2024-07-29,216.6994781,53297.182218213675,245.4192410902187,106479.40367816214,1,0.13801044909117305
2024-07-30,216.9778748,53308.01490238938,245.36926582101944,106547.71674147046,1,0.08489873278541457
2024-07-31,217.5346222,53410.36461935186,244.89829633535564,106684.22299008709,1,0.1791786977923449
2024-08-01,220.7956543,54140.00233254718,241.59040477565932,107482.11382759071,1,1.161217687969624
2024-08-02,217.097168,52846.24564730011,247.54379529167952,106587.30256109546,1,-1.2369241571419225
2024-08-05,218.5884857,53662.0011519147,243.80813614167295,106955.65243246243,1,0.5038729165042081
2024-08-06,208.0597382,50908.08074311035,257.03111365460336,104385.90695934158,1,-3.166115002392471
2024-08-07,206.0315247,51670.875946274566,253.32508486586363,103863.82942594535,1,-0.48119211649275306
2024-08-08,208.6065674,52583.32426180617,248.9466911815581,104515.23897477885,1,0.8820573097485207
2024-08-09,212.076355,53120.87354214452,246.40945704385302,105378.49302953394,1,1.1065970369676772
2024-08-12,214.9894562,53406.776011115144,245.07828172629692,106096.02252588212,1,0.7973331870983282
2024-08-13,216.5223083,53423.663117738965,245.00021119967462,106471.67438068002,1,0.39330809564446273
2024-08-14,220.2449799,54147.16828916621,241.71192103679826,107383.00547950623,1,0.9615306914248549
2024-08-15,220.6928864,53799.419679104125,243.286059716663,107490.92241885726,1,0.11726475176981843
2024-08-16,223.6789856,54471.26499988108,240.27943914919396,108216.72620930971,1,0.7531880459528851
2024-08-19,225.0028381,54426.4128335121,240.47858045509187,108534.77593816696,1,0.35902221658533096
2024-08-20,224.8435822,54228.89301382519,241.3561794297168,108496.28098290866,1,-0.0503721117133241
2024-08-21,225.4607086,54396.9195668358,240.61017473203455,108645.06005829012,1,0.19275850880052792
2024-08-22,225.3511963,54296.07951619543,241.05720724387857,108618.6095453405,1,-0.03800740874119455
2024-08-23,223.4898682,53860.18275782261,243.0056682662192,108169.48753049286,1,-0.7546586980991897
2024-08-26,225.7891693,54642.70366138941,239.53648411445937,108727.44742663583,1,0.7413822189953817
2024-08-27,226.1275787,54444.587192634994,240.4117358256484,108808.31090595291,1,0.1226939430571519
2024-08-28,226.9736481,54607.39749278599,239.69370853574637,109011.55294576245,1,0.31192970159642047
2024-08-29,225.4407806,54137.888737396635,241.7742536546257,108643.66521027786,1,-0.7236025183425718
2024-08-30,228.7255096,55115.017400801466,237.49791923138827,109436.85000594039,1,1.105423044786413
2024-09-03,227.9391785,54531.08965849536,240.0571299899205,109249.51466146555,1,-0.35651238896983667
2024-09-04,221.7380219,53134.730510534944,246.34817638703205,107759.48784126772,1,-4.0742280202100485
2024-09-05,219.8269196,53408.673137296195,245.10075480598172,107288.41705793006,1,-0.6305827137019813
2024-09-06,221.349823,54016.864501637116,242.3503565619071,107661.07303060213,1,0.575323299933956
2024-09-09,219.7970734,53453.664458684165,244.91016046122235,107284.20097398522,1,-0.5424796460545955
2024-09-10,219.8866272,53663.82275385669,243.9534462375555,107305.92324084931,1,0.03403117736928978
2024-09-11,219.0903625,53458.50499009122,244.88964739571625,107111.46661051587,1,-0.3093412241334081
2024-09-12,221.6285248,54176.584177952194,241.64639165282182,107732.31748321012,1,1.2213255232940223
2024-09-13,221.7380219,53892.33435485928,242.92702839162948,107758.49309646434,1,0.04398204232000451
2024-09-16,221.4692841,53813.88450157987,243.28089905191584,107693.13104981204,1,-0.11567613763698863
2024-09-17,215.3179016,52348.58782705211,250.07937159325363,106195.15335195814,1,-2.6898932463751137
2024-09-18,215.7857056,53213.69882934859,246.0662374661905,106311.27550532766,1,0.19013653838572633
2024-09-19,219.6676636,54109.95939400323,241.98207820636117,107265.59714666707,1,1.9951670051435146
2024-09-20,227.8097687,55601.549003713735,235.42800152684381,109234.34757704727,1,3.0620647893102553
2024-09-23,227.142868,54459.02530719157,240.4529548712207,109076.19909571522,1,-0.1881342222565198
2024-09-24,225.4208832,54123.70823236153,241.93898441729473,108661.80778021915,1,-0.5340116192920946
2024-09-25,226.3167114,54547.215723607274,240.0658066919471,108878.11961371686,1,0.2554371954270556
2024-09-26,225.3213501,54199.760485293795,241.60630931200174,108638.82029215223,1,-0.3192036848984164
2024-09-27,226.4660187,54595.57309309083,239.85678053550785,108914.98323916695,1,0.3554979831562226
2024-09-30,226.7347565,54521.87658020968,240.18148986162814,108979.36819979316,1,0.08947271468641735
2024-10-01,231.920639,55734.02372448913,234.9496980296634,110223.70782438571,1,1.4204064410939217
2024-10-02,225.1620941,53521.72574092226,244.76523960430183,108633.57965311511,1,-3.549389233710179
2024-10-03,225.7294617,54454.72775716308,240.62782685738165,108771.51758372065,1,0.15671844868071025
2024-10-04,224.624588,54119.56060215475,242.11845762789036,108505.31939401508,1,-0.3245932141815668
2024-10-07,225.7493591,54524.58211398519,240.32254139412768,108777.24181099274,1,0.3414518179609495
2024-10-08,220.6630402,53164.90550281451,246.47816352118022,107553.52640831088,1,-1.7295914266662182
2024-10-09,224.7241364,54776.12190817968,239.3012342405221,108552.88511233512,1,1.4339780383901042
2024-10-10,228.4766693,55174.030004263244,237.55792100111623,109450.4725604308,1,1.0472205665813281
2024-10-11,227.9789886,54606.441266084556,240.04508755950943,109331.67754629996,1,-0.14548169111458345
2024-10-14,226.4958954,54309.53292436707,241.35465535306116,108975.37169751705,1,-0.4693289836303997
2024-10-15,230.2285156,55387.49207250708,236.6678415432503,109875.1779212656,1,1.0999373425269217
2024-10-16,232.7666931,55538.14314913294,236.0199744601381,110475.73210976574,1,0.6926836288120766
2024-10-17,230.7062836,54750.78168242363,239.42939564946843,109988.6477373065,1,-0.7710675738513162
2024-10-18,231.0745697,55082.170666297774,237.9938386991325,110076.49453495102,1,0.11859082551079114
2024-10-21,233.9113617,55712.75506952765,235.29531386365107,110751.00233700316,1,0.8391227876374242
2024-10-22,235.3845215,55722.119392317414,235.25549095419842,111097.62056081899,1,0.46750402066674257
2024-10-23,234.767395,55403.3093911615,236.61211677375172,110952.119671571,1,-0.24900236790089245
2024-10-24,229.6910095,54273.79713319683,241.52473340836394,109749.85696898232,1,-2.8328082640562995
2024-10-25,229.5019073,54828.70016755637,239.1044550787102,109703.62865204754,1,-0.06433013571306974
2024-10-28,230.3379974,55051.50416675474,238.1361952659912,109903.31849277852,1,0.29136209051133966
2024-10-29,232.3187866,55422.98499741787,236.53558134755366,110374.64424380712,1,0.7023168406947193
2024-10-30,232.5875397,55250.71969944626,237.27548858845236,110438.04182134982,1,0.0999953941257307
2024-10-31,229.0340576,54374.99185621685,241.09523923779494,109594.01276689177,1,-1.6528695111325937
2024-11-01,224.8634796,53790.91639080255,243.69011135521842,108587.92277424844,1,-1.5193309489231566
2024-11-04,221.8773651,53566.05017052108,244.70256964992333,107860.0115576453,1,-0.9211450342526795
2024-11-05,220.9815369,53710.64957217199,244.04756404254442,107640.65535099464,1,-0.33230669367816995
2024-11-06,222.4148712,54169.66994002324,241.98169567133388,107989.99761552055,1,0.713912572782826
2024-11-07,221.6882477,53818.81872039674,243.5627479938815,107813.81752815701,1,-0.2859758297268209
2024-11-08,226.4262085,55059.65743561777,238.07716041881483,108966.56619969629,1,3.0510840896979112
2024-11-11,226.1571655,54418.58967904834,240.90894037955277,108901.87277889648,1,-0.09587719573927424
2024-11-12,223.4368134,53794.95623714649,243.69724738228044,108245.89262659472,1,-1.0085653862382793
2024-11-13,223.4368134,54122.61832322121,242.22931525793663,108245.56463651857,1,-0.0005282130089992743
2024-11-14,224.3236694,54337.38985335503,241.2709388314744,108460.17217161432,1,0.3757373181043279
2024-11-15,227.4127197,54974.746157487374,238.46549198016191,109204.83224329454,1,1.4074921331549546
2024-11-18,224.2040863,53836.13030095412,243.53889807603954,108438.54642260139,1,-1.3893584495241602
2024-11-19,227.2134094,54951.04441288739,238.62708347397694,109170.31762418809,1,1.2902423732016577
2024-11-20,227.4724884,54646.67801591877,239.96378285583498,109231.8368280128,1,0.09719468980412274
2024-11-21,228.1899414,54787.93974677369,239.3441099065307,109403.8581607801,1,0.2827934578714044
2024-11-22,227.7116394,54587.24982450068,240.22456306811893,109289.17890489072,1,-0.20626914012849837
2024-11-25,229.0568542,54967.36259674263,238.56343283546835,109611.952049188,1,0.573242338326445
2024-11-26,232.0462494,55518.58463179901,236.1855714811394,110324.560656393,1,1.1518369989205692
2024-11-27,234.2285004,55677.53741585085,235.50626945053224,110839.81774404735,1,0.792170377925326
2024-11-29,234.0989685,55389.115163361465,236.73709127011242,110809.02403538514,1,-0.06586265998042033
2024-12-02,236.4904785,55970.08958286048,234.27798179913856,111374.60160055305,1,0.8486156611406702
2024-12-03,238.7424774,56214.649752607686,233.25258834009452,111901.9505528842,1,0.7854906014773325
2024-12-04,241.7916565,56661.7566393884,231.40159625996898,112612.73191583049,1,0.7781751801196682
2024-12-05,242.1503906,56389.105222250044,232.5264304484473,112695.47118016529,1,0.2108106797084268
2024-12-06,242.1802673,56354.64828997746,232.66856634641533,112702.38388006011,1,0.019480034519937864
2024-12-09,241.9809723,56304.77243206817,232.87447523009251,112655.96437209821,1,-0.1385484195226953
